GENESIS-Tabelle: 21311-0003
Students: Germany, semester, nationality, sex, subject;;;;;;;;;;;
Statistics of students;;;;;;;;;;;
Germany;;;;;;;;;;;
Students (number);;;;;;;;;;;
;;;Germans;Germans;Germans;Foreigners;Foreigners;Foreigners;Total;Total;Total
;;;Male;Female;Total;Male;Female;Total;Male;Female;Total
WT 2020/21;SF169;Ethics;342;764;1106;29;76;105;371;840;1211
WT 2020/21;SF173;Ethnology;1013;2585;3598;244;415;659;1257;3000;4257
WT 2020/21;SF024;European Ethnology and Cultural Studies;785;2295;3080;213;455;668;998;2750;3748
WT 2020/21;SF167;European Economic Studies;907;1278;2185;153;216;369;1060;1494;2554
WT 2020/21;SF544;Protestant Religious Pedagogy, Church Educat. Work;209;490;699;2;6;8;211;496;707
WT 2020/21;SF053;Protestant Theology, Protes. Religious Education;4121;6092;10213;330;260;590;4451;6352;10803
WT 2020/21;SF464;Facility Management;2046;1400;3446;100;97;197;2146;1497;3643
WT 2020/21;SF235;Automotive Technology;9292;666;9958;2556;305;2861;11848;971;12819
WT 2020/21;SF212;Precision Engineering;487;47;534;85;15;100;572;62;634
WT 2020/21;SF202;Manufacturing Technology/Production Engineering;4115;704;4819;1341;261;1602;5456;965;6421
WT 2020/21;SF054;Film and Television Studies;1369;1095;2464;229;246;475;1598;1341;2939
WT 2020/21;SF266;Financial Administration;922;1295;2217;5;3;8;927;1298;2225
WT 2020/21;SF056;Finno-Ugrian Studies;38;80;118;4;12;16;42;92;134
WT 2020/21;SF058;Forest Science, Forestry;3625;2039;5664;493;356;849;4118;2395;6513
WT 2020/21;SF059;French;931;3944;4875;166;512;678;1097;4456;5553
WT 2020/21;SF019-07;Frisian (deleted in 2007);-;-;-;-;-;-;-;-;-
WT 2020/21;SF060;Horticulture;1193;875;2068;98;81;179;1291;956;2247
WT 2020/21;SF062;Ed.of Deaf a.Hearing Imp. (cl.w. SF190 since 2016);-;-;-;-;-;-;-;-;-
WT 2020/21;SF063;Ed.Ment.Disabl./Pract.Work(cl.w. SF190 since 2016);-;-;-;-;-;-;-;-;-
WT 2020/21;SF050;Geography;10164;10409;20573;604;632;1236;10768;11041;21809
WT 2020/21;SF065;Geology/Palaeontology;185;141;326;91;68;159;276;209;485
WT 2020/21;SF385;Geoecology;596;797;1393;55;53;108;651;850;1501
WT 2020/21;SF066;Geophysics;942;836;1778;107;104;211;1049;940;1989
WT 2020/21;SF039;Geosciences general;5188;3840;9028;1034;686;1720;6222;4526;10748
WT 2020/21;SF067;German Studies/German;13788;49996;63784;1104;4368;5472;14892;54364;69256
