GENESIS-Tabelle: 21311-0003
Students: Germany, semester, nationality, sex, subject;;;;;;;;;;;
Statistics of students;;;;;;;;;;;
Germany;;;;;;;;;;;
Students (number);;;;;;;;;;;
;;;Germans;Germans;Germans;Foreigners;Foreigners;Foreigners;Total;Total;Total
;;;Male;Female;Total;Male;Female;Total;Male;Female;Total
WT 2020/21;SF269;Customs and Tax Administration;2956;3948;6904;8;30;38;2964;3978;6942
WT 2021/22;SF141;Waste Management;55;27;82;2;1;3;57;28;85
WT 2021/22;SF002;African Studies;370;637;1007;160;183;343;530;820;1350
WT 2021/22;SF138;Agricultural Biology;364;375;739;283;244;527;647;619;1266
WT 2021/22;SF125;Agricultural Economics;758;503;1261;400;271;671;1158;774;1932
WT 2021/22;SF003;Agricultural Science/Agriculture;7060;6411;13471;1137;1074;2211;8197;7485;15682
WT 2021/22;SF001;Egyptology;218;329;547;45;57;102;263;386;649
WT 2021/22;SF152;General Linguistics/Indo-European Studies;1252;3526;4778;308;966;1274;1560;4492;6052
WT 2021/22;SF188;General Literary Studies;791;3063;3854;157;533;690;948;3596;4544
WT 2021/22;SF272;Ancient History;135;97;232;13;19;32;148;116;264
WT 2021/22;SF006;American Studies;648;1480;2128;404;659;1063;1052;2139;3191
WT 2021/22;SF007;Applied Art;1315;2569;3884;134;352;486;1449;2921;4370
WT 2021/22;SF284;Applied Linguistics;924;3388;4312;233;821;1054;1157;4209;5366
WT 2021/22;SF140;Applied Systems Science;1726;447;2173;677;243;920;2403;690;3093
WT 2021/22;SF008;English Studies;12565;30343;42908;1431;4219;5650;13996;34562;48558
WT 2021/22;SF009;Anthropology (Human Biology);100;322;422;70;159;229;170;481;651
WT 2021/22;SF010;Arabic/Arabic Studies;155;293;448;90;91;181;245;384;629
WT 2021/22;SF011;Work Studies/Business Studies;873;1270;2143;45;72;117;918;1342;2260
WT 2021/22;SF257;Occupational Guidance and Career Counselling;170;459;629;3;8;11;173;467;640
WT 2021/22;SF258;Labour Administration;301;678;979;7;7;14;308;685;993
WT 2021/22;SF012;Archaeology;2461;2754;5215;196;299;495;2657;3053;5710
WT 2021/22;SF390;Archaeometry (Archaeological Engineering);16;8;24;3;2;5;19;10;29
WT 2021/22;SF013;Architecture;14811;18951;33762;3174;4634;7808;17985;23585;41570
WT 2021/22;SF037;Archive and Documentation Science;150;259;409;15;49;64;165;308;473
WT 2021/22;SF255;Archive Studies;178;237;415;5;8;13;183;245;428
WT 2021/22;SF187;Asian Languages and Cultures/Asian Studies;415;966;1381;234;473;707;649;1439;2088
WT 2021/22;SF014;Astrophysics and Astronomy;202;78;280;229;141;370;431;219;650
WT 2021/22;SF143;Ophthalmic Optics;227;522;749;29;55;84;256;577;833
WT 2021/22;SF117;Immigrant Education;15;118;133;31;61;92;46;179;225
WT 2021/22;SF015;Non-Europ. Lang. and Cult. in Oceania and America;67;120;187;25;66;91;92;186;278
WT 2021/22;SF259;Foreign Affairs Administration;105;152;257;-;-;-;105;152;257
WT 2021/22;SF016;Baltic Studies;4;3;7;-;3;3;4;6;10
WT 2021/22;SF265;Banking;475;340;815;5;8;13;480;348;828
WT 2021/22;SF017;Civil Engineering/Structural Engineering;32311;14028;46339;8380;3211;11591;40691;17239;57930
WT 2021/22;SF020;Mining/Mine Engineering;748;231;979;777;232;1009;1525;463;1988
WT 2021/22;SF018;Occupation-specific Foreign Language Training;394;848;1242;78;177;255;472;1025;1497
WT 2021/22;SF270;Vocational, Business and Economics Education;730;1121;1851;53;74;127;783;1195;1978
WT 2021/22;SF021;Business Administration;112816;97537;210353;14403;16110;30513;127219;113647;240866
WT 2021/22;SF262;Librarianship;17;38;55;-;1;1;17;39;56
WT 2021/22;SF023;Fine Arts/Graphics;1157;1642;2799;470;840;1310;1627;2482;4109
WT 2021/22;SF205;Sculpting/Statuary Art;97;143;240;85;103;188;182;246;428
WT 2021/22;SF025;Biochemistry;3040;4323;7363;653;1100;1753;3693;5423;9116
WT 2021/22;SF221;Bioinformatics;1231;866;2097;361;415;776;1592;1281;2873
WT 2021/22;SF026;Biology;16462;31108;47570;2817;5217;8034;19279;36325;55604
WT 2021/22;SF300;Biomedicine;596;1603;2199;371;539;910;967;2142;3109
WT 2021/22;SF282;Biotechnology;4564;6218;10782;1043;1527;2570;5607;7745;13352
WT 2021/22;SF027;Ed.of Blind a.Visually Imp.(cl.w.SF190 since 2016);-;-;-;-;-;-;-;-;-
WT 2021/22;SF028;Brewing Science/Beverage Technology;468;126;594;65;18;83;533;144;677
WT 2021/22;SF260;Armed Forces Administration;240;290;530;10;5;15;250;295;545
WT 2021/22;SF031;Byzantine Studies;7;21;28;14;9;23;21;30;51
WT 2021/22;SF162;Caritas Science;25;67;92;8;10;18;33;77;110
WT 2021/22;SF032;Chemistry;20683;14119;34802;3304;3581;6885;23987;17700;41687
WT 2021/22;SF033;Chemical Engineering/Chemical Process Technology;4583;2318;6901;1023;847;1870;5606;3165;8771
WT 2021/22;SF160;Computer Linguistics;572;537;1109;292;450;742;864;987;1851
WT 2021/22;SF200;Computer and Communication Technology;3364;2114;5478;868;544;1412;4232;2658;6890
WT 2021/22;SF034;Danish;17;69;86;-;1;1;17;70;87
WT 2021/22;SF035;Performing Arts/Stagecraft/Directing;385;890;1275;122;319;441;507;1209;1716
WT 2021/22;SF271;German as a Foreign or Second Language;406;2149;2555;350;1317;1667;756;3466;4222
WT 2021/22;SF161;Pastoral Care Studies;114;149;263;15;18;33;129;167;296
WT 2021/22;SF192;Conducting;102;55;157;115;72;187;217;127;344
WT 2021/22;SF231;Printing and Reproduction Technology;555;719;1274;113;98;211;668;817;1485
WT 2021/22;SF159;Gemstone and Jewellery Design;7;26;33;13;37;50;20;63;83
WT 2021/22;SF316;Electrical Power Engineering;1523;236;1759;542;167;709;2065;403;2468
WT 2021/22;SF048;Electrical Engineering/Electronics;37364;4645;42009;17773;4622;22395;55137;9267;64404
WT 2021/22;SF211;Energy Process Engineering;3568;883;4451;1052;338;1390;4620;1221;5841
WT 2021/22;SF320;Nutritional Science;1034;5038;6072;147;704;851;1181;5742;6923
WT 2021/22;SF321;Adult Education and Extracurricular Youth Educat.;579;1966;2545;31;132;163;610;2098;2708
WT 2021/22;SF051;Ed.of People w.Emot.Diff. (cl.w. SF190 since 2016);-;-;-;-;-;-;-;-;-
WT 2021/22;SF052;Educational Science (Pedagogy);12525;44596;57121;830;3640;4470;13355;48236;61591
WT 2021/22;SF169;Ethics;378;868;1246;40;85;125;418;953;1371
WT 2021/22;SF173;Ethnology;923;2277;3200;263;406;669;1186;2683;3869
WT 2021/22;SF024;European Ethnology and Cultural Studies;762;2157;2919;228;486;714;990;2643;3633
WT 2021/22;SF167;European Economic Studies;852;1179;2031;178;214;392;1030;1393;2423
WT 2021/22;SF544;Protestant Religious Pedagogy, Church Educat. Work;226;458;684;2;6;8;228;464;692
WT 2021/22;SF053;Protestant Theology, Protes. Religious Education;3675;5492;9167;357;240;597;4032;5732;9764
WT 2021/22;SF464;Facility Management;2180;1386;3566;88;87;175;2268;1473;3741
WT 2021/22;SF235;Automotive Technology;8885;648;9533;2532;290;2822;11417;938;12355
WT 2021/22;SF212;Precision Engineering;493;45;538;94;13;107;587;58;645
WT 2021/22;SF202;Manufacturing Technology/Production Engineering;3903;675;4578;1265;272;1537;5168;947;6115
WT 2021/22;SF054;Film and Television Studies;1319;1085;2404;238;270;508;1557;1355;2912
WT 2021/22;SF266;Financial Administration;976;1399;2375;2;2;4;978;1401;2379
WT 2021/22;SF056;Finno-Ugrian Studies;35;73;108;6;9;15;41;82;123
WT 2021/22;SF058;Forest Science, Forestry;3680;2078;5758;473;327;800;4153;2405;6558
WT 2021/22;SF059;French;857;3578;4435;162;531;693;1019;4109;5128
WT 2021/22;SF019-07;Frisian (deleted in 2007);-;-;-;-;-;-;-;-;-
WT 2021/22;SF060;Horticulture;1171;902;2073;94;82;176;1265;984;2249
WT 2021/22;SF062;Ed.of Deaf a.Hearing Imp. (cl.w. SF190 since 2016);-;-;-;-;-;-;-;-;-
WT 2021/22;SF063;Ed.Ment.Disabl./Pract.Work(cl.w. SF190 since 2016);-;-;-;-;-;-;-;-;-
WT 2021/22;SF050;Geography;9810;10296;20106;606;656;1262;10416;10952;21368
WT 2021/22;SF065;Geology/Palaeontology;179;135;314;80;54;134;259;189;448
WT 2021/22;SF385;Geoecology;547;691;1238;69;58;127;616;749;1365
WT 2021/22;SF066;Geophysics;897;787;1684;128;116;244;1025;903;1928
WT 2021/22;SF039;Geosciences general;4764;3590;8354;1034;723;1757;5798;4313;10111
WT 2021/22;SF067;German Studies/German;13082;48279;61361;1175;4616;5791;14257;52895;67152
WT 2021/22;SF230;Singing;270;454;724;280;399;679;550;853;1403
WT 2021/22;SF068;History;17466;13335;30801;1291;1383;2674;18757;14718;33475
WT 2021/22;SF195;Health Education;1266;4953;6219;46;185;231;1312;5138;6450
WT 2021/22;SF215;Health Technology;4873;4796;9669;2312;1800;4112;7185;6596;13781
WT 2021/22;SF232;Health Science/Health Management;9533;27195;36728;944;2531;3475;10477;29726;40203
WT 2021/22;SF216;Glass Technology/Ceramics;90;32;122;13;10;23;103;42;145
WT 2021/22;SF069;Graphic Design/Communication Design;7446;14216;21662;1326;2785;4111;8772;17001;25773
WT 2021/22;SF070;Greek;158;140;298;44;44;88;202;184;386
WT 2021/22;SF115;Primary School Education/Primary Level Education;1547;8128;9675;36;192;228;1583;8320;9903
WT 2021/22;SF071;Domestic and Nutritional Sciences;1251;5535;6786;179;431;610;1430;5966;7396
WT 2021/22;SF333;Domestic Science;37;123;160;1;1;2;38;124;162
WT 2021/22;SF082;Wood and Fibre Technology;707;132;839;33;8;41;740;140;880
WT 2021/22;SF197;Timber Construction;577;115;692;19;7;26;596;122;718
WT 2021/22;SF075;Wood Science;149;27;176;32;18;50;181;45;226
WT 2021/22;SF076;Metallurgy and Foundry;351;89;440;287;112;399;638;201;839
WT 2021/22;SF078;Indology;43;73;116;16;26;42;59;99;158
WT 2021/22;SF203;Industrial Design/Product Design;1818;1757;3575;298;423;721;2116;2180;4296
WT 2021/22;SF079;Computer Science;89084;17840;106924;23094;8374;31468;112178;26214;138392
WT 2021/22;SF022;Inf./Library Scien. (not at univ. of app.adm.sci.);584;1947;2531;37;124;161;621;2071;2692
WT 2021/22;SF123;Computational Engineer./Technical Computer Science;9969;1571;11540;3544;1043;4587;13513;2614;16127
WT 2021/22;SF242;Interior Architecture;439;3342;3781;101;481;582;540;3823;4363
WT 2021/22;SF261;Internal Administration;2532;5086;7618;16;54;70;2548;5140;7688
WT 2021/22;SF080;Instrumental Music;1307;1179;2486;1998;2437;4435;3305;3616;6921
WT 2021/22;SF072;Interdisc. Studies (specialising in Engineering);11289;4091;15380;3272;1323;4595;14561;5414;19975
WT 2021/22;SF049;Interdisc. Studies (special. in Natural Sciences);3332;3582;6914;1310;1262;2572;4642;4844;9486
WT 2021/22;SF030;Interdisc. St. (spec. in Law, Econ. and Soc. Sci.);6502;8324;14826;1188;1766;2954;7690;10090;17780
WT 2021/22;SF004;Interdisc. Studies (spec. in Humanities);5031;12100;17131;1091;2575;3666;6122;14675;20797
WT 2021/22;SF040;Interdisc. Studies (special. in Art, Art Theory);268;601;869;140;214;354;408;815;1223
WT 2021/22;SF182;International Business Studies/Management;16182;19955;36137;6937;7545;14482;23119;27500;50619
WT 2021/22;SF081;Iranian Studies;63;58;121;36;40;76;99;98;197
WT 2021/22;SF292;Islamic Studies/Islamic theology;394;555;949;121;131;252;515;686;1201
WT 2021/22;SF083;Islamic Studies;278;652;930;130;153;283;408;805;1213
WT 2021/22;SF084;Italian;209;555;764;71;295;366;280;850;1130
WT 2021/22;SF085;Japanese Studies;1370;1712;3082;156;280;436;1526;1992;3518
WT 2021/22;SF164;Jazz and Popular Music;914;326;1240;169;74;243;1083;400;1483
WT 2021/22;SF252;Journalism (classified with SF303 since 2008);-;-;-;-;-;-;-;-;-
WT 2021/22;SF073;Judaic Studies/Hebrew;183;274;457;43;66;109;226;340;566
WT 2021/22;SF168;Law Enforcement;84;113;197;-;-;-;84;113;197
WT 2021/22;SF280;Cartography;162;76;238;77;65;142;239;141;380
WT 2021/22;SF545;Catholic Religious Pedagogy, Church Educat. Work;112;266;378;109;99;208;221;365;586
WT 2021/22;SF086;Catholic Theology, Catholic Religious Education;2483;3370;5853;398;148;546;2881;3518;6399
WT 2021/22;SF180;Caucasian Studies;2;1;3;-;1;1;2;2;4
WT 2021/22;SF241;Nucl.Techn./Nucl.Process Techn.(cl.w.SF211 s.2020);-;-;-;-;-;-;-;-;-
WT 2021/22;SF193;Church Music;280;129;409;47;51;98;327;180;507
WT 2021/22;SF005;Classical Philology;142;180;322;34;36;70;176;216;392
WT 2021/22;SF222;Communication Technology, Information Engineering;3941;612;4553;2166;728;2894;6107;1340;7447
WT 2021/22;SF303;Communication Science/Journalism;4781;11859;16640;401;1199;1600;5182;13058;18240
WT 2021/22;SF191;Composition;148;45;193;154;131;285;302;176;478
WT 2021/22;SF087;Ed.of Physically Disabled (cl.w. SF190 since 2016);-;-;-;-;-;-;-;-;-
WT 2021/22;SF047;Nursing Education (classif. with SF234 since 2004);-;-;-;-;-;-;-;-;-
WT 2021/22;SF091;Arts Education;1042;4758;5800;110;435;545;1152;5193;6345
WT 2021/22;SF092;Art History, Art Theory;1991;7445;9436;212;1071;1283;2203;8516;10719
WT 2021/22;SF219;Plastics Technology;593;130;723;71;29;100;664;159;823
WT 2021/22;SF093;Land Management Engineering/Landscape Design;2032;2855;4887;115;272;387;2147;3127;5274
WT 2021/22;SF283;Landscape Ecology/Biogeography (ex. SF385 s. 2012);477;766;1243;21;32;53;498;798;1296
WT 2021/22;SF095;Latin;772;1055;1827;36;49;85;808;1104;1912
WT 2021/22;SF038;Latin America Studies;109;247;356;50;103;153;159;350;509
WT 2021/22;SF096;Food Chemistry;632;1380;2012;56;146;202;688;1526;2214
WT 2021/22;SF097;Food Technology;1447;1945;3392;150;273;423;1597;2218;3815
WT 2021/22;SF099;Ed. of P.w.Learning Diff. (cl.w. SF190 since 2016);-;-;-;-;-;-;-;-;-
WT 2021/22;SF090;Area of study: Humanities;1231;7071;8302;63;188;251;1294;7259;8553
WT 2021/22;SF154;Area of study: Social Studies;195;237;432;4;2;6;199;239;438
WT 2021/22;SF186;Area of study: Natural Sciences/General Studies;816;3606;4422;24;81;105;840;3687;4527
WT 2021/22;SF199;Area of study: Technology;635;293;928;12;15;27;647;308;955
WT 2021/22;SF057;Aeronautical and Aerospace Engineering;5386;812;6198;1128;297;1425;6514;1109;7623
WT 2021/22;SF204;Painting;173;219;392;78;155;233;251;374;625
WT 2021/22;SF198;Health a. Soc. Care Man. (cl. w. SF232 since 2004);-;-;-;-;-;-;-;-;-
WT 2021/22;SF103;Mine Surveying;17;9;26;8;2;10;25;11;36
WT 2021/22;SF104;Mechanical Engineering;64441;8661;73102;18323;3202;21525;82764;11863;94627
WT 2021/22;SF294;Materials Engineering;1063;391;1454;491;282;773;1554;673;2227
WT 2021/22;SF237;Math.Statistics/Prob.Calc. (class.w. SF312 s.2020);-;-;-;-;-;-;-;-;-
WT 2021/22;SF105;Mathematics;25698;25136;50834;3560;2542;6102;29258;27678;56936
WT 2021/22;SF380;Mechatronics;11190;1138;12328;6053;872;6925;17243;2010;19253
WT 2021/22;SF121;Media Informatics;10653;5378;16031;1347;972;2319;12000;6350;18350
WT 2021/22;SF133;Media St./Com./Info. Sc. (cl. w. SF303 since 2008);-;-;-;-;-;-;-;-;-
WT 2021/22;SF305;Media Technology;4632;3262;7894;409;273;682;5041;3535;8576
WT 2021/22;SF304;Media Economics/Media Management;4359;7623;11982;381;878;1259;4740;8501;13241
WT 2021/22;SF302;Media Science;3757;8609;12366;402;959;1361;4159;9568;13727
WT 2021/22;SF107;Medicine (General Medicine);32452;59244;91696;5674;7905;13579;38126;67149;105275
WT 2021/22;SF247;Medical Informatics;1435;1131;2566;495;535;1030;1930;1666;3596
WT 2021/22;SF061;Ground Improvement;-;-;-;-;-;-;-;-;-
WT 2021/22;SF108;Metals Technology;628;105;733;3;5;8;631;110;741
WT 2021/22;SF110;Meteorology;541;394;935;82;78;160;623;472;1095
WT 2021/22;SF157;Microelectronics;119;31;150;436;189;625;555;220;775
WT 2021/22;SF286;Microsystems Technology;980;194;1174;972;287;1259;1952;481;2433
WT 2021/22;SF220;Dairy Farming;34;21;55;8;21;29;42;42;84
WT 2021/22;SF111;Mineralogy;108;49;157;43;15;58;151;64;215
WT 2021/22;SF273;Medieval and Modern History;423;314;737;36;45;81;459;359;818
WT 2021/22;SF113;Music Education;3284;4210;7494;304;605;909;3588;4815;8403
WT 2021/22;SF114;Musicology/History of Music;1793;2044;3837;297;530;827;2090;2574;4664
WT 2021/22;SF064;Nature Conservation;427;708;1135;163;271;434;590;979;1569
WT 2021/22;SF223;Nautical Science/Maritime Studies;628;182;810;220;37;257;848;219;1067
WT 2021/22;SF287;New Media;1096;1410;2506;244;298;542;1340;1708;3048
WT 2021/22;SF043;Modern Greek;12;17;29;19;49;68;31;66;97
WT 2021/22;SF233;Non-medical Healthcare Professions/Therapies;2647;11190;13837;210;720;930;2857;11910;14767
WT 2021/22;SF189;Low German;1;2;3;-;-;-;1;2;3
WT 2021/22;SF119;Dutch;103;192;295;12;20;32;115;212;327
WT 2021/22;SF120;Nordic/Scand. St. (Nord. Phil., ind. lang. n.e.c.);280;712;992;27;72;99;307;784;1091
WT 2021/22;SF088;Optoelectronics;333;110;443;110;36;146;443;146;589
WT 2021/22;SF165;Orchestral Music;308;327;635;501;649;1150;809;976;1785
WT 2021/22;SF122;Oriental Studies, Ancient Oriental Studies;382;540;922;127;134;261;509;674;1183
WT 2021/22;SF055;Orientation studies in social sciences;-;-;-;-;-;-;-;-;-
WT 2021/22;SF019;MINT orientation studies;36;21;57;-;-;-;36;21;57
WT 2021/22;SF044;Eastern and South Eastern Europe Studies;139;208;347;57;98;155;196;306;502
WT 2021/22;SF124;Oceanography;6;10;16;7;1;8;13;11;24
WT 2021/22;SF365;Early Childhood Education;422;3252;3674;25;257;282;447;3509;3956
WT 2021/22;SF353;Plant Production;346;274;620;37;32;69;383;306;689
WT 2021/22;SF234;Nursing Science/Nursing Management;3169;10071;13240;181;631;812;3350;10702;14052
WT 2021/22;SF126;Pharmacy;4097;9379;13476;902;1830;2732;4999;11209;16208
WT 2021/22;SF127;Philosophy;8990;7374;16364;1248;1176;2424;10238;8550;18788
WT 2021/22;SF128;Physics;28835;11564;40399;5366;2648;8014;34201;14212;48413
WT 2021/22;SF224;Engineering Physics/Mechanical Process Engineering;1731;501;2232;761;152;913;2492;653;3145
WT 2021/22;SF129;Political Science;15445;12634;28079;2116;2770;4886;17561;15404;32965
WT 2021/22;SF263;Police/Protection of the Constitution;16772;9455;26227;113;73;186;16885;9528;26413
WT 2021/22;SF206;Polish;22;33;55;5;15;20;27;48;75
WT 2021/22;SF131;Portuguese;34;47;81;11;20;31;45;67;112
WT 2021/22;SF132;Psychology;24096;72672;96768;1927;6396;8323;26023;79068;105091
WT 2021/22;SF109;Communication Studies (cl. with SF303 since 2008);-;-;-;-;-;-;-;-;-
WT 2021/22;SF134;Spatial Planning;2381;2483;4864;503;823;1326;2884;3306;6190
WT 2021/22;SF256;Administration of Justice;657;2307;2964;-;1;1;657;2308;2965
WT 2021/22;SF135;Law;46939;62200;109139;3280;6266;9546;50219;68466;118685
WT 2021/22;SF310;Renewable Energy;1949;608;2557;936;236;1172;2885;844;3729
WT 2021/22;SF136;Religious Studies;525;879;1404;145;152;297;670;1031;1701
WT 2021/22;SF101;Restoration Studies;171;589;760;13;52;65;184;641;825
WT 2021/22;SF163;Rhythmics;-;19;19;2;2;4;2;21;23
WT 2021/22;SF137;Romance Studies (Rom. Phil., indiv. lang. n.e.c.);497;1565;2062;206;583;789;703;2148;2851
WT 2021/22;SF139;Russian;174;399;573;36;193;229;210;592;802
WT 2021/22;SF254;General Studies (including School Garden);180;999;1179;10;63;73;190;1062;1252
WT 2021/22;SF102;Drama Studies;213;259;472;52;73;125;265;332;597
WT 2021/22;SF142;Naval Architecture/Ship Technology;588;92;680;252;41;293;840;133;973
WT 2021/22;SF361;School Pedagogy;173;324;497;40;54;94;213;378;591
WT 2021/22;SF145;Sinology/Korean Studies;872;1919;2791;194;590;784;1066;2509;3575
WT 2021/22;SF146;Slavic Studies (Slavic Philology);321;615;936;92;345;437;413;960;1373
WT 2021/22;SF190;Special Needs Education;3033;14901;17934;57;334;391;3090;15235;18325
WT 2021/22;SF290;Other subjects;1069;1337;2406;816;866;1682;1885;2203;4088
WT 2021/22;SF036;Other regional studies;146;249;395;33;108;141;179;357;536
WT 2021/22;SF041;Other orientation studies;6;4;10;1;1;2;7;5;12
WT 2021/22;SF207;Sorabistics;5;21;26;2;4;6;7;25;32
WT 2021/22;SF208;Social Work;17364;58263;75627;1244;3794;5038;18608;62057;80665
WT 2021/22;SF147;Social Studies;1697;1903;3600;84;122;206;1781;2025;3806
WT 2021/22;SF046;Soc. Med./Pub. Health (cl. with SF232 since 2004);-;-;-;-;-;-;-;-;-
WT 2021/22;SF245;Social Pedagogy;2117;9388;11505;57;390;447;2174;9778;11952
WT 2021/22;SF264;Social Security Administration;741;1788;2529;65;72;137;806;1860;2666
WT 2021/22;SF253;Applied Social Science;5506;18167;23673;379;1055;1434;5885;19222;25107
WT 2021/22;SF148;Social Sciences;8127;11587;19714;961;1705;2666;9088;13292;22380
WT 2021/22;SF149;Sociology;6128;11340;17468;671;1505;2176;6799;12845;19644
WT 2021/22;SF150;Spanish;1020;2887;3907;211;643;854;1231;3530;4761
WT 2021/22;SF166;Sports Management/Sports Economics;7325;2952;10277;543;161;704;7868;3113;10981
WT 2021/22;SF098;Sports Education/Sports Psychology;6258;4240;10498;144;109;253;6402;4349;10751
WT 2021/22;SF029;Sports Science;11665;7363;19028;827;551;1378;12492;7914;20406
WT 2021/22;SF151;Speech Therapy/Logopedics (cl.w. SF190 since 2016);-;-;-;-;-;-;-;-;-
WT 2021/22;SF429;Steel Construction;64;8;72;6;-;6;70;8;78
WT 2021/22;SF312;Statistics;1783;1016;2799;1144;627;1771;2927;1643;4570
WT 2021/22;SF196;Foundation Course;-;-;-;-;-;-;-;-;-
WT 2021/22;SF153;South Slavic (Bulgar., Serbo-Croat., Slovene etc.);3;1;4;2;1;3;5;2;7
WT 2021/22;SF106;Dance Education;28;128;156;76;162;238;104;290;394
WT 2021/22;SF144;Technical Cybernetics;303;78;381;41;13;54;344;91;435
WT 2021/22;SF118;Technomathematics;1686;498;2184;270;110;380;1956;608;2564
WT 2021/22;SF116;Textile Design;545;2152;2697;83;397;480;628;2549;3177
WT 2021/22;SF225;Textile and Clothing Technology/Industry;432;1807;2239;245;270;515;677;2077;2754
WT 2021/22;SF155;Theatre Studies;687;1998;2685;92;299;391;779;2297;3076
WT 2021/22;SF156;Veterinary Medicine;1000;6168;7168;156;538;694;1156;6706;7862
WT 2021/22;SF371;Animal Production;90;222;312;22;23;45;112;245;357
WT 2021/22;SF194;Sound Engineering;386;54;440;66;17;83;452;71;523
WT 2021/22;SF274;Tourism Management;2024;6873;8897;463;947;1410;2487;7820;10307
WT 2021/22;SF074;Transport and Conveying Technology;294;31;325;33;9;42;327;40;367
WT 2021/22;SF209;Czech;5;14;19;4;24;28;9;38;47
WT 2021/22;SF158;Turkish Studies;56;221;277;49;103;152;105;324;429
WT 2021/22;SF458;Environmental Protection;871;952;1823;596;423;1019;1467;1375;2842
WT 2021/22;SF457;Environmental Technology (including Recycling);3983;2514;6497;728;648;1376;4711;3162;7873
WT 2021/22;SF548;Prehistory and Early History;442;498;940;35;42;77;477;540;1017
WT 2021/22;SF226;Process Engineering;4695;2812;7507;1216;966;2182;5911;3778;9689
WT 2021/22;SF170;Ed.of P.w.Behav.Disorders (cl.w. SF190 since 2016);-;-;-;-;-;-;-;-;-
WT 2021/22;SF089;Transport Engineering;3096;903;3999;961;301;1262;4057;1204;5261
WT 2021/22;SF268;Transportation Systems;-;-;-;-;-;-;-;-;-
WT 2021/22;SF210;Transport Economics;993;392;1385;281;176;457;1274;568;1842
WT 2021/22;SF171;Surveying (Geodesy);2851;1189;4040;766;387;1153;3617;1576;5193
WT 2021/22;SF213;Supply Technology;2410;419;2829;292;86;378;2702;505;3207
WT 2021/22;SF172;Administrative Science/Public Administration;7669;11331;19000;233;295;528;7902;11626;19528
WT 2021/22;SF174;Folklore;258;738;996;26;109;135;284;847;1131
WT 2021/22;SF175;Economics;11141;4927;16068;2478;2500;4978;13619;7427;21046
WT 2021/22;SF094;Hydraulic Engineering;604;429;1033;209;168;377;813;597;1410
WT 2021/22;SF077;Water Management;499;287;786;352;200;552;851;487;1338
WT 2021/22;SF227;Viticulture and Oenology;660;400;1060;128;115;243;788;515;1303
WT 2021/22;SF201;Handicrafts (technical)/Technology;155;263;418;3;23;26;158;286;444
WT 2021/22;SF176;Handicrafts Education;34;79;113;-;1;1;34;80;114
WT 2021/22;SF177;Materials Technology;2468;846;3314;1187;522;1709;3655;1368;5023
WT 2021/22;SF130;Western Slavic (general and n.e.c.);9;14;23;5;5;10;14;19;33
WT 2021/22;SF178;Economic/Social Geography;251;235;486;7;13;20;258;248;506
WT 2021/22;SF183;Economic/Social History;101;81;182;10;50;60;111;131;242
WT 2021/22;SF277;Business Informatics;46653;11007;57660;6101;3551;9652;52754;14558;67312
WT 2021/22;SF370;Business Engineering spec. in Engineering Sciences;43034;11410;54444;8971;3973;12944;52005;15383;67388
WT 2021/22;SF179;Business Engineering specialising in Economics;20811;6770;27581;3042;1465;4507;23853;8235;32088
WT 2021/22;SF276;Business Mathematics;3247;2015;5262;565;733;1298;3812;2748;6560
WT 2021/22;SF181;Business and Economics Education;2479;3872;6351;87;246;333;2566;4118;6684
WT 2021/22;SF042;Business Law;8323;11862;20185;641;1282;1923;8964;13144;22108
WT 2021/22;SF184;Business and Economics;43134;33519;76653;5803;6943;12746;48937;40462;89399
WT 2021/22;SF275;History of Science/History of Technology;21;9;30;2;1;3;23;10;33
WT 2021/22;SF185;Dentistry;4223;8983;13206;1008;1278;2286;5231;10261;15492
WT 2021/22;SF269;Customs and Tax Administration;2982;3752;6734;8;26;34;2990;3778;6768
WT 2022/23;SF141;Waste Management;48;22;70;2;-;2;50;22;72
WT 2022/23;SF002;African Studies;381;645;1026;121;152;273;502;797;1299
WT 2022/23;SF138;Agricultural Biology;328;325;653;269;272;541;597;597;1194
WT 2022/23;SF125;Agricultural Economics;720;498;1218;453;319;772;1173;817;1990
WT 2022/23;SF003;Agricultural Science/Agriculture;6619;6057;12676;1168;1265;2433;7787;7322;15109
WT 2022/23;SF001;Egyptology;270;377;647;30;51;81;300;428;728
WT 2022/23;SF152;General Linguistics/Indo-European Studies;1195;3181;4376;337;942;1279;1532;4123;5655
WT 2022/23;SF188;General Literary Studies;739;3130;3869;142;508;650;881;3638;4519
WT 2022/23;SF272;Ancient History;127;94;221;18;17;35;145;111;256
WT 2022/23;SF006;American Studies;622;1383;2005;423;690;1113;1045;2073;3118
WT 2022/23;SF007;Applied Art;1283;2522;3805;164;391;555;1447;2913;4360
WT 2022/23;SF284;Applied Linguistics;879;3111;3990;248;764;1012;1127;3875;5002
WT 2022/23;SF140;Applied Systems Science;1642;474;2116;799;277;1076;2441;751;3192
WT 2022/23;SF008;English Studies;12626;30016;42642;1517;4312;5829;14143;34328;48471
WT 2022/23;SF009;Anthropology (Human Biology);91;337;428;74;165;239;165;502;667
WT 2022/23;SF010;Arabic/Arabic Studies;129;270;399;97;98;195;226;368;594
WT 2022/23;SF011;Work Studies/Business Studies;834;1168;2002;38;72;110;872;1240;2112
WT 2022/23;SF257;Occupational Guidance and Career Counselling;170;449;619;5;9;14;175;458;633
